No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.1.4,172.217.27.206,TLSv1.2,1368,Application Data
2,0.014860541,172.217.27.206,192.168.1.4,TCP,66,443  >  51318 [ACK] Seq=1 Ack=1303 Win=810 Len=0 TSval=1065673844 TSecr=8891447
3,0.372015975,172.217.27.206,192.168.1.4,TLSv1.2,413,Application Data
4,0.372098735,172.217.27.206,192.168.1.4,TLSv1.2,699,"Application Data, Application Data"
5,0.372112835,172.217.27.206,192.168.1.4,TLSv1.2,112,Application Data
6,0.373098976,192.168.1.4,172.217.27.206,TCP,66,51318  >  443 [ACK] Seq=1303 Ack=1027 Win=1444 Len=0 TSval=8891540 TSecr=1065674141
7,0.373253251,192.168.1.4,172.217.27.206,TLSv1.2,112,Application Data
8,0.38262409,172.217.27.206,192.168.1.4,TCP,66,443  >  51318 [ACK] Seq=1027 Ack=1349 Win=811 Len=0 TSval=1065674212 TSecr=8891540
9,0.391842741,192.168.1.4,192.168.1.1,DNS,76,Standard query 0xd5b3 A drive.google.com
10,0.391903828,192.168.1.4,192.168.1.1,DNS,76,Standard query 0xcd4a AAAA drive.google.com
11,0.399199329,192.168.1.4,172.217.27.206,TLSv1.2,356,Application Data
12,0.399353356,192.168.1.4,172.217.27.206,TLSv1.2,1434,Application Data
13,0.399364824,192.168.1.4,172.217.27.206,TCP,1434,[TCP segment of a reassembled PDU]
14,0.399384622,192.168.1.1,192.168.1.4,DNS,228,Standard query response 0xd5b3 A drive.google.com A 172.217.27.206 NS ns2.google.com NS ns3.google.com NS ns4.google.com NS ns1.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10
15,0.429450796,192.168.1.4,172.217.27.206,TLSv1.2,168,Application Data
16,0.450979506,192.168.1.1,192.168.1.4,DNS,240,Standard query response 0xcd4a AAAA drive.google.com AAAA 2404:6800:4009:800::200e NS ns3.google.com NS ns1.google.com NS ns2.google.com NS ns4.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10
17,0.451760781,172.217.27.206,192.168.1.4,TCP,66,443  >  51318 [ACK] Seq=1027 Ack=1639 Win=810 Len=0 TSval=1065674251 TSecr=8891547
18,0.451808621,172.217.27.206,192.168.1.4,TCP,66,443  >  51318 [ACK] Seq=1027 Ack=3007 Win=810 Len=0 TSval=1065674252 TSecr=8891547
19,0.453332414,172.217.27.206,192.168.1.4,TCP,66,443  >  51318 [ACK] Seq=1027 Ack=4375 Win=810 Len=0 TSval=1065674282 TSecr=8891547
20,0.453381397,172.217.27.206,192.168.1.4,TCP,66,443  >  51318 [ACK] Seq=1027 Ack=4477 Win=811 Len=0 TSval=1065674282 TSecr=8891554
21,0.781744179,172.217.27.206,192.168.1.4,TLSv1.2,250,Application Data
22,0.781801747,172.217.27.206,192.168.1.4,TLSv1.2,104,Application Data
23,0.781816178,172.217.27.206,192.168.1.4,TLSv1.2,112,Application Data
24,0.782585146,192.168.1.4,172.217.27.206,TCP,66,51318  >  443 [ACK] Seq=4477 Ack=1295 Win=1444 Len=0 TSval=8891643 TSecr=1065674569
25,0.782721728,192.168.1.4,172.217.27.206,TLSv1.2,112,Application Data
26,0.98639012,172.217.27.206,192.168.1.4,TCP,66,443  >  51318 [ACK] Seq=1295 Ack=4523 Win=811 Len=0 TSval=1065674621 TSecr=8891643
27,2.932158212,192.168.1.9,224.0.0.251,MDNS,119,"Standard query 0x0003 PTR _805741C9._sub._googlecast._tcp.local, ""QM"" question PTR _8DA7527D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
28,3.720068713,192.168.1.4,172.217.27.195,TLSv1.2,112,Application Data
29,3.723062506,192.168.1.11,224.0.0.251,MDNS,103,"Standard query 0x0003 PTR _D2CA5178._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
30,3.728271985,172.217.27.195,192.168.1.4,TLSv1.2,112,Application Data
31,3.728330677,192.168.1.4,172.217.27.195,TCP,66,35590  >  443 [ACK] Seq=47 Ack=47 Win=1442 Len=0 TSval=8892379 TSecr=140286487
