"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.1","239.255.255.250","SSDP","307","NOTIFY * HTTP/1.1  "
"2","0.000025775","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"3","0.000031818","192.168.0.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"4","0.000037327","192.168.0.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1  "
"5","0.000042843","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"6","0.000048510","192.168.0.1","239.255.255.250","SSDP","355","NOTIFY * HTTP/1.1  "
"7","0.000054127","192.168.0.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1  "
"8","0.000059657","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"9","0.000065135","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"10","0.000074575","192.168.0.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1  "
"11","0.001781223","192.168.0.1","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1  "
"12","0.001807409","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"13","0.001814074","192.168.0.1","239.255.255.250","SSDP","303","NOTIFY * HTTP/1.1  "
"14","0.001820159","192.168.0.1","239.255.255.250","SSDP","312","NOTIFY * HTTP/1.1  "
"15","0.001826053","192.168.0.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1  "
"16","0.001831761","192.168.0.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1  "
"17","2.953383963","192.168.1.4","172.217.27.206","TLSv1.2","112","Application Data"
"18","2.970057901","172.217.27.206","192.168.1.4","TLSv1.2","112","Application Data"
"19","2.970115476","192.168.1.4","172.217.27.206","TCP","66","51522  >  443 [ACK] Seq=47 Ack=47 Win=254 Len=0 TSval=9516101 TSecr=1480769286"
"20","4.405204723","74.125.68.189","192.168.1.4","TLSv1.2","126","Application Data"
"21","4.405290402","192.168.1.4","74.125.68.189","TCP","66","57116  >  443 [ACK] Seq=1 Ack=61 Win=997 Len=0 TSval=9516460 TSecr=1828960"
"22","5.529186752","192.168.1.9","224.0.0.251","MDNS","119","Standard query 0x0003 PTR _805741C9._sub._googlecast._tcp.local, ""QM"" question PTR _8DA7527D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"23","6.981657673","192.168.1.4","172.217.27.206","TLSv1.2","112","Application Data"
"24","6.986616184","192.168.1.4","172.217.27.206","TLSv1.2","97","Encrypted Alert"
"25","6.986634661","192.168.1.4","172.217.27.206","TCP","66","51522  >  443 [FIN, ACK] Seq=124 Ack=47 Win=254 Len=0 TSval=9517105 TSecr=1480769286"
"26","7.019139989","192.168.1.4","172.217.27.206","TCP","66","[TCP Retransmission] 51522  >  443 [FIN, ACK] Seq=124 Ack=47 Win=254 Len=0 TSval=9517114 TSecr=1480769286"
"27","7.096812936","172.217.27.206","192.168.1.4","TCP","66","443  >  51522 [ACK] Seq=47 Ack=125 Win=188 Len=0 TSval=1480773411 TSecr=9517104"
"28","7.096883052","172.217.27.206","192.168.1.4","TCP","78","[TCP Previous segment not captured] 443  >  51522 [ACK] Seq=48 Ack=125 Win=188 Len=0 TSval=1480773412 TSecr=9517114 SLE=124 SRE=125"
"29","7.269052468","74.125.68.189","192.168.1.4","TLSv1.2","127","Application Data"
"30","7.269101863","192.168.1.4","74.125.68.189","TCP","66","57116  >  443 [ACK] Seq=1 Ack=122 Win=997 Len=0 TSval=9517176 TSecr=1831779"
